번호,제작연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,제공,배급,제작사,개봉(예정),비고
743,2017,폭력의 씨앗,드라마,임태규,"박해오 , 박봉수",문광백,"이가섭 , 정재윤 , 소이 , 박성일 , 문광백 , 박지훈 , 박해오 , 정대기 , 이주연 , 임태규 , 김동현 , 박강섭 , 박지훈 , 정희태",2016-08-23,2016-09-10,찬란,찬란,"(주)타이거시네마 , DGC , (주)엠라인디스트리뷰션",2017-11-02,"2017 JIFF 한국 경쟁 부문 대상, CGV 아트하우스상 수상/2017 산세바스티안국제영화제 신인감독 경쟁 부문 초청작/2017 영진위 하반기 저예산영화개봉지원작"
744,2017,미옥,"범죄,액션",이안규,김미화,이안규,"김혜수 , 이선균 , 이희준 , 최무성 , 김민석 , 오하늬 , 여이레 , 박상규 , 박주연 , 신지훈 , 이연 , 임용순 , 차순배 , 이서준 , 손상연 , 차래형 , 김연교 , 최현종 , 남성호 , 권율 , 김경민 , 박기륭 , 권범택 , 이도국",2016-01-28,2016-04-28,(주)키다리이엔티,(주)키다리이엔티,(주)영화사 소중한,2017-11-09,A.K.A. 소중한 여인/2017 시체스국제판타스틱영화제 포커스 아시아 부문 최우수 작품상 수상
745,2017,채비,드라마,조영준,"허정욱 , 차효주",조영준,"고두심 , 김성균 , 유선 , 박철민 , 김희정 , 신세경 , 마현 , 박세준 , 박소연 , 박소정 , 박지윤 , 박혜영 , 송국진 , 양태열 , 유지연 , 한지호 , 이태규 , 김남언 , 장문규 , 김정환 , 현봉식 , 김영재 , 박성연 , 어성욱",2017-04-10,2017-06-07,오퍼스픽쳐스(유),오퍼스픽쳐스(유),"(주)26컴퍼니 , (주)영화사바른",2017-11-09,2016 영진위 가족영화제작지원작
746,2015,소통과 거짓말,드라마,이승원,,이승원,"장선 , 김권후 , 김선영 , 박지훈 , 이승원",2015-07-10,2015-07-16,프로젝트 잉여,무브먼트,프로젝트 잉여,2017-11-09,2015 BIFF 아시아진흥기구상(NETPAC)·올해의 배우상 수상/2015 서울독립영화제 경쟁 부문 초청작/2016 로테르담국제영화제 밝은미래 부문 초청작/2016 카를로비바리국제영화제 다른시선 부문 초청작/2017 영진위 상반기 저예산영화개봉지원작
747,2016,해피뻐스데이,"드라마,코미디",이승원,김상수,이승원,"서갑숙 , 김선영 , 박지훈 , 양윤식 , 이승원 , 이주원 , 김경덕 , 장선 , 김성민",2016-05-30,2016-06-10,(주)엠씨엠씨,무브먼트,프로젝트 잉여,2017-11-09,2017 JIFF CGV아트하우스 창작지원상 수상/2017 홍콩국제영화제 국제비평가협회상 수상
748,2017,고향이 어디세요,다큐멘터리,정수웅,,"윤영수 , 정수웅","김금단 , 김용복",1995,2015,,(주)드림팩트엔터테인먼트,다큐서울,2017-11-09,
749,2017,7호실,코미디,이용승,문용찬,이용승,"신하균 , 도경수 , 김동영 , 김종수 , 김종구 , 박수영 , 전석호 , 황정민 , 정희태 , 김도윤 , 정승길 , 박소영 , 조민성 , 윤세현 , 이광기 , 이재혁 , 김성종 , 우지현 , 박근록 , 최무성 , 김지영 , 이서환 , 박신아",2017-01-02,2017-02-23,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)명필름,2017-11-15,2017 BiFan 개막작
750,2016,로마서 8:37,드라마,신연식,김지형,신연식,"이현호 , 서동갑 , 조성우 , 허연정 , 홍성춘 , 박명신 , 전경수 , 이지민 , 최홍일 , 최종률 , 김다흰 , 김하연 , 이승훈 , 임수현 , 홍성덕 , 이지민",2016-11-09,2016-12-28,(주) 루스이소니도스,(주) 루스이소니도스,(주) 루스이소니도스,2017-11-16,2017 BIFF 한국영화의 오늘-파노라마 부문 초청작/2017 영진위 하반기 저예산영화개봉지원작
751,2016,모범생,스릴러,"노홍식 , 이영진",,노홍식,"김효진 , 강하린 , 최라윤 , 박광일 , 손우혁 , 오유미 , 황정인 , 이가경 , 김영학 , 조승범 , 류진석",2015-10-16,2015-11-15,,주식회사 씨엠닉스,"(주)파란프로덕션 , 주식회사 씨엠닉스",2017-11-17,
752,2017,꾼,범죄,장창원,성창연,장창원,"현빈 , 유지태 , 배성우 , 박성웅 , 나나 , 안세하 , 최덕문 , 전보람 , 전헌태 , 이용희 , 이재남 , 이창호 , 김동철 , 황인범 , 차순배 , 염동헌 , 허성태 , 주석태 , 정민성 , 최홍일 , 김자영 , 류성현 , 유정호 , 손병욱 , 신정섭",2016-10-01,2017-01-20,(주)쇼박스,(주)쇼박스,(주)영화사두둥,2017-11-22,
