번호,제작연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,제공,배급,제작사,개봉(예정),비고
1411,2012,스파이,액션,이승준,"이상직 , 길영민 , 최윤호","박수진 , 윤제균","설경구 , 문소리 , 다니엘 헤니 , 고창석 , 한예리 , 라미란 , 서승인 , 이대수 , 이성제 , 최승현 , 오대환 , 이무생 , 강석철 , 김종수 , 조영진 , 김소진 , 차순배 , 서현우 , 이나라 , 박지연 , 정인기 , 한이진 , 양도현 , 김송일",2012-05-15,2012-08-27,(주)씨제이이엔엠,(주)씨제이이엔엠,"(주)제이케이필름 , (주)씨제이이엔엠",2013-09-05,A.K.A. 협상종결자/한국판
1412,2013,뫼비우스,드라마,김기덕,김순모,김기덕,"조재현 , 서영주 , 이나라 , 이정훈 , 장철민 , 리우진",2013-03-10,2013-03-15,(주)김기덕 필름,(주)넥스트엔터테인먼트월드(NEW),(주)김기덕 필름,2013-09-05,2013 베니스국제영화제 비경쟁부문 초청작
1413,2012,개똥이,드라마,김병준,"정성훈 , 김병준 , 최윤석",김병준,"송재하 , 이은경 , 이설구 , 이준상 , 전아름 , 정성훈 , 정지운 , 고기훈 , 최성림 , 최성식 , 김병준 , 최윤석 , 손일성 , 박기륭 , 지대한 , 손일성 , 이정비 , 박기륭",2012-01-23,2012-02-01,동서대학교 디지털영상매스컴학부,주식회사 마운틴픽쳐스,영화사 새삶,2013-09-05,
1414,2013,천안함 프로젝트,다큐멘터리,백승우,"최필선 , 고승민",백승우,"강신일 , 이희은 , 조다인 , 고승민 , 홍성기 , 승의열 , 손경원",2012-10-25,2012-12-12,(주)아우라픽처스,(주)아우라픽처스,(주)아우라픽처스,2013-09-05,
1415,2013,미스체인지,코미디,정초신,"조군원 , 오승현",김주현,"송재하 , 이수정 , 정은우 , 신유주 , 이주엽 , 주종휘",2013-06-15,2013-07-14,브릿지웍스 엔터테인먼트(주),브릿지웍스 엔터테인먼트(주),"브런치메이트필름(주) , 주식회사 루믹스미디어",2013-09-05,
1416,2013,관상,"사극,드라마",한재림,"김우재 , 김창수 , 주성호 , 박선진",김동혁,"송강호 , 이정재 , 백윤식 , 조정석 , 이종석 , 김혜수 , 신기원 , 윤종구 , 윤희원 , 이도엽 , 권영각 , 김길동 , 정준식 , 조훈휘 , 표유신 , 하정수 , 한만영 , 노준표 , 문혜진 , 박진우 , 전신환 , 김강현 , 유재명 , 김의성 , 정대용 , 김근영 , 서현우 , 이규형 , 이유준 , 김태우 , 윤경호 , 최교식 , 박기만 , 주광현",2012-09-15,2013-04-08,(주)쇼박스,(주)쇼박스,"(주)주피터필름 , (주)쇼박스",2013-09-11,2010 영진위 한국영화시나리오공모전 대상 수상
1417,2012,우리 선희,드라마,홍상수,김경희,홍상수,"정유미 , 이선균 , 김상중 , 정재영 , 이민우 , 예지원 , 박주희 , 안선영 , 한재이",2012-11-01,2012-11-07,(주)영화제작전원사,"(주)영화제작전원사 , (주)영화사 조제",(주)영화제작전원사,2013-09-12,
1418,2012,낭만파 남편의 편지,"드라마,가족,판타지",최낙권,최태규,"최낙권 , 안정효","김재만 , 신소현 , 임성철 , 정우정 , 최석용 , 최천웅 , 오선아 , 최재호",2011-08-05,2011-08-11,(주)퍼스트런,(주)퍼스트런,(주)리얼곤시네마또,2013-09-12,
1419,2012,러시안 소설,"드라마,미스터리",신연식,김지형,신연식,"강신효 , 경성환 , 김인수 , 김정팔 , 양성규 , 이규태 , 이도연 , 이유미 , 최종률 , 이빛나",2011-10-25,2012-01-11,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),(주) 루스이소니도스,2013-09-19,
1420,2013,짓,멜로/로맨스,한종훈,이수성,한종훈,"서은아 , 서태화 , 김희정 , 장윤경 , 류호장 , 송대중 , 이수희 , 손진호 , 곽민호",2012-12-18,2013-02-02,(유)조이앤컨텐츠그룹,(주)팝파트너스,㈜리필름,2013-09-25,
1421,2012,벌거숭이,"범죄,드라마",박상훈,"서은정 , 김학봉 , 백성원 , 모성진",박상훈,"정민준 , 김민혁 , 장리우 , 정진옥 , 오은호",2011-05-20,2011-11-16,이닥픽쳐스,이닥픽쳐스,이닥픽쳐스,2013-09-26,
1422,2013,아유레디?,다큐멘터리,허원,홍송이,허원,"장광 , 고형원 , 성현경",2010-03,2013-01,,(주)나이너스엔터테인먼트,더패스오브라이프,2013-09-26,
1423,2013,설국열차,"SF,액션",봉준호,"백지선 , 정원조 , 김은희 , 최두호 , 박태준","봉준호 , 켈리 매스터슨","크리스 에반스 , 송강호 , 에드 해리스 , 존 허트 , 틸다 스윈튼 , 제이미 벨 , 옥타비아 스펜서 , 이완 브렘너 , 고아성 , 알리슨 필 , 허찬",2012-04-16,2012-07-14,(주)씨제이이엔엠,(주)씨제이이엔엠,"(주)모호필름 , 오퍼스픽쳐스(유)",2013-08-01,프랑스 동명 만화 원작/글로벌 프로젝트
1424,2013,죽지않아,"스릴러,드라마",황철민,김현경,김현경,"이봉규 , 차래형 , 한은비 , 이무생",2011-08-20,2012-12-24,씨네굿,씨네굿,씨네굿,2013-08-08,
1425,2013,"가자, 장미여관으로","멜로/로맨스,드라마",신정균,"김응민 , 이금복",이남정,"성은채 , 장성원 , 여민정",2013-03-18,2013-04-20,"스크린조이 , (유)조이앤컨텐츠그룹",(주)팝파트너스,"드림로드 , 스크린조이",2013-08-14,
1426,2013,숨바꼭질,스릴러,허정,김의성,허정,"손현주 , 문정희 , 전미선 , 장채린 , 김수안 , 김원해 , 노수산나 , 정준원 , 김근영 , 성유빈 , 주석태 , 정민성 , 김혜윤 , 김자영",2013-01-30,2013-04-17,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),(주)드림캡쳐,2013-08-14,
1427,2013,감기,"드라마,어드벤처,액션",김성수,"김성진 , 임영주 , 서종해","김성수 , 이영종","장혁 , 수애 , 박민하 , 유해진 , 이희준 , 김기현 , 이상엽 , 박효주 , 박정민 , 최병모 , 마동석 , 차인표 , 정석원 , 나기찬(윤숭태) , 정재형 , 김남준 , 한승희 , 전상진 , 이영수 , 한정학 , 이학수 , 장슬기 , 김태준 , 박성철 , 박예슬 , 박진혁 , 박희권 , 유순철 , 나윤성 , 남문철 , 이윤희 , 설창희 , 최정현 , 김서원 , 양도현 , 이람 , 이동진",2012-05-11,2012-10-11,(주)씨제이이엔엠,아이러브시네마,"아이러브시네마 , (주)아이필름홀딩스 , (주)씨제이이엔엠",2013-08-14,
1428,2012,그리고 싶은 것,다큐멘터리,권효,안보영,"권효 , 안보영","권윤덕 , 심달연 , 세이조 타시마 , 케이코 하마다 , 김여진",2009-09,2012-06,,(주)시네마달,,2013-08-15,
1429,2013,렛 미 아웃,"드라마,코미디","소재영 , 김창래","소민영 , 아이린조 , 소재영","김창래 , 소재영","정선희 , 권현상 , 박희본 , 정보람 , 조성민 , 조윤형 , 김남준 , 최진수 , 황상연 , 박종환 , 소민영 , 오다정 , 오재세 , 한사명",2011-02-10,2011-03-27,서울예술대학,㈜영화사 백두대간,서울예술대학,2013-08-15,
1430,2012,가시꽃,드라마,이돈구,김희성,이돈구,"남연우 , 양조아 , 홍정호 , 강기둥 , 임성균 , 정재영 , 김미란 , 한명수 , 김희성",2011-08-15,2011-12-01,,㈜인디스토리,디케이필름프로덕션,2013-08-22,2012 BIFF 뉴커런츠 부문 초청작/2012 SIFF 새로운선택 부문 초청작/2012 마라케쉬국제영화제 경쟁 부문 초청작/2013 베를린국제영화제 파노라마 부문 초청작/2013 본스릴러국제영화제 영블러드 부문 초청작/2013 시애틀국제영화제 신인감독 부문 초청작/2013 시체스국제판타스틱영화제 초청작/2013 트란실바니아국제영화제 초청작/2013 인디포럼 상영작/2013 SIYFF 초청작
1431,2010,방독피,"미스터리,스릴러","김곡 , 김선",,"김곡 , 김선","장리우 , 박지환 , 조영진 , 임수아 , 잇을 , 장현남 , 정병욱 , 정섬 , 정지선 , 정훈 , 조문식 , 조아라 , 지연 , 진지현 , 최기수 , 김경민 , 김경민 , 한동수 , 한휘수 , 홍경원 , 홍두현 , 홍준원 , 황인태 , 김은희 , 박지원 , 오태호 , 박성미 , 박성미",2009-09-22,2009-11-03,,(주)두엔터테인먼트,(주)두엔터테인먼트,2013-08-22,2010 PIFF 초청작/2010 베니스국제영화제 오리종티(Orizzonti) 부문 초청작/2010 PIFF 한국영화의 오늘-비전 부문 출품작/2011 도쿄필름엑스영화제 경쟁 부문 초청작/2012 영진위 하반기다양성영화개봉지원작
1432,2013,아름다운 이별은 없다,"스릴러,공포(호러)",이상화,윤여창,이상화,고수현,2013 상반기,,,(주)스넵쏘울,(주)스넵쏘울,2013-08-22,
1433,2013,아티스트 봉만대,코미디,봉만대,이승훈,"박세열 , 봉만대","봉만대 , 곽현화 , 성은 , 이파니 , 류재영 , 이선호",2013-03-04,2013-04-08,골든타이드픽처스(주),씨너스엔터테인먼트(주),골든타이드픽처스(주),2013-08-29,
1434,2013,감시자들,"범죄,액션","조의석 , 김병서",송대찬,조의석,"설경구 , 서지원 , 정우성 , 한효주 , 진경 , 이준호 , 임달화 , 손민석 , 김대진 , 이태형 , 이동휘 , 이화정 , 김진곤 , 박지훈 , 김지훈 , 신성일 , 변요한 , 정우근 , 장원형 , 장유리 , 조도연 , 지영준 , 한영주 , 문성렬 , 박영진 , 박지연 , 백동현 , 신경철 , 이가람 , 이상민 , 김병옥 , 윤돈선 , 강신하 , 이동진",2012-10-28,2013-03-04,"(주)넥스트엔터테인먼트월드(NEW) , 오퍼스픽쳐스(유)",(주)넥스트엔터테인먼트월드(NEW),영화사 집,2013-07-03,
1435,2012,48미터,드라마,민백두,정성일,민백두,"박효주 , 이진희 , 하석 , 조한철 , 김광현 , 김용진 , 주민하 , 김형근",2012-02-03,2012-03-11,,(주)씨제이이엔엠,한엔터테인먼트,2013-07-04,
1436,2012,명왕성,"드라마,스릴러",신수원,임충근,신수원,"이다윗 , 성준 , 김꽃비 , 김권 , 류경수 , 선주아 , 남태부 , 길해연 , 황정민 , 박현영 , 한솔 , 한창훈 , 황성규 , 조성하 , 박해준",2012-06-09,2012-08-02,(주)에스에이치필름,(주)싸이더스,"(주)에스에이치필름 , 준필름",2013-07-11,2011 영진위 하반기 독립영화제작지원작/2012 BIFF 한국영화의 오늘-비전 부문 초청작/2013 베를린국제영화제 수정곰상(제너레이션 14플러스) 특별언급 수상
1437,2011,콩가네,"가족,코미디",남기웅,"조성훈 , 강관호 , 오정택 , 박정혁",남기웅,"김병옥 , 윤다경 , 심은진 , 서효명 , 김동범 , 정완희 , 정재필 , 정희원 , 김동민 , 최종렬 , 김준영 , 박정혁 , 박형진 , 송동규 , 김병옥 , 기주봉",2011-11-12,2011-12-24,캐피탈원(주),프리비젼엔터테인먼트,(주)이웃엔터테인먼트,2013-07-11,2011 영진위 영화제작지원작/2012 영진위 독립영화후반작업현물지원작
1438,2013,경복,드라마,최시형,,최시형,"최시형 , 이종필 , 신이수",2009-04-20,2009-08-30,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),,2013-07-11,
1439,2013,슈퍼피쉬 - 끝없는 여정,다큐멘터리,"송웅달 , 이지운 , 이기연",송웅달,"조미진 , 송웅달",유동근,2010-09-29,2012-04-07,주식회사 마운틴픽쳐스,"주식회사 마운틴픽쳐스 , (주)팝엔터테인먼트",KBS,2013-07-11,
1440,2013,미스터 고,"코미디,드라마",김용화,"정주균 , 최지선 , 노은희 , 박성준",김용화,"서교 , 김예원 , 성동일 , 이훈민 , 임동욱 , 임승묵 , 임왕섭 , 천재성 , 최인호 , 박정훈 , 배지현 , 조재윤 , 변희봉 , 김성주 , 김인우 , 김희원 , 김태준 , 김고은 , 전신환 , 이양희 , 김응수 , 곽진무 , 김기천 , 김태훈",2012-02-20,2012-09-05,(주)쇼박스,(주)쇼박스,"(주)덱스터필름 , (주)광대무변 , (주)컨텐츠아이",2013-07-17,허영만 만화 『제7구단』 원작/3D 제작/한·중 글로벌 프로젝트
1441,2012,우리는 그곳에 있었다,"다큐멘터리,어드벤처",박준기,"리주영 , 곽동현",박준기,"유학재 , 정재학 , 박준기 , 황영순",2011-09-06,2011-12-18,마젠타필름,주식회사 마운틴픽쳐스,마젠타필름,2013-07-18,A.K.A. 코리안 다이렉트/2011 서울영상위원회 제작지원작/2012 영진위 독립영화후반작업현물지원작/2012 영진위 예술영화인정작
1442,2013,군사통제구역 팔이공지대,"미스터리,스릴러",구모,김태헌,구모,"박그리나 , 조현석 , 김세문 , 박형석 , 이원재 , 김태헌 , 하은설",2012-05-07,2012-05-27,,골든타이드픽처스(주),허니필름,2013-07-25,
1443,2012,링,다큐멘터리,이진혁,,이진혁,박주영,,,,㈜인디스토리,파스텔글리프,2013-07-25,
1444,2013,더 테러 라이브,"범죄,기타",김병우,"전려경 , 김세진",김병우,"하정우 , 이경영 , 전혜진 , 이다윗 , 이재관 , 이춘연 , 장성환 , 전려경 , 박수화 , 김홍파 , 김대명 , 최진호 , 김소진 , 강진아 , 최대훈 , 강신철 , 한성천 , 손성찬 , 최정현",2013-01-23,2013-03-08,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)씨네이천,2013-07-31,
1445,2013,은밀하게 위대하게,"액션,코미디,드라마",장철수,"김방현 , 김영민 , 홍재준 , 서연","김방현 , 윤홍기","김수현 , 박기웅 , 이현우 , 손현주 , 박혜숙 , 김성균 , 고창석 , 장광 , 신정근 , 홍경인 , 이채영 , 박은빈 , 최우식 , 이연경 , 이재남 , 이주원 , 장하은 , 장하진 , 황의준 , 송경호 , 이명규 , 주현 , 조영진 , 성유빈 , 원현준 , 이재우",2012-10-19,2013-03-08,미시간벤처캐피탈(주),(주)쇼박스,(주)엠씨엠씨,2013-06-05,최종훈(Hun) 동명 웹툰 원작
1446,2013,무서운 이야기 2,"미스터리,공포(호러)","김성호 , 김휘 , 정범식 , 민규동",서은정,정범식,"박성웅 , 우혜진 , 이세영 , 성준 , 이수혁 , 백진희 , 김슬기 , 정인선 , 고경표 , 김지원",2013-03-06,2013-03-26,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,"(주)수필름 , 데이지엔터테인먼트",2013-06-05,옴니버스
1447,2012,마이 라띠마,"멜로/로맨스,드라마",유지태,홍이연정,"임선애 , 유지태","배수빈 , 박지수 , 소유진 , 장우영 , 강숙 , 곽기봉 , 김민성 , 허명행 , 김현배 , 박성연 , 박영민 , 오유진 , 고세원 , 최덕문 , 동현배 , 서영화 , 김강현 , 배제기 , 김권 , 유지연 , 박성연 , 정민성",2012-01-26,2012-04-02,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)유무비,2013-06-06,"A.K.A. 산세베리아, 소년, 산세베리아 꿈을 꾸다/2011 영진위 영화제작지원작/2012 BIFF 한국영화의 오늘-비전 부문 초청작/2012 ACF 장편독립영화후반작업지원작/배우 유지태 감독 데뷔작/2013 도빌 아시아 영화제 개막작 및 심사위원 대상 수상작"
1448,2012,"앵두야, 연애하자","드라마,멜로/로맨스,코미디",정하린,"최세미 , 하지혜 , 민경조",정하린,"류현경 , 하시은 , 강기화 , 이주희 , 이지나 , 이혜원 , 이호정 , 장지영 , 정용희 , 고아한 , 최민영 , 김보람 , 김보람 , 민경조 , 박수빈 , 박은혜 , 박정우 , 백소망 , 오명지 , 원종 , 이산하 , 지승현",2010-10-03,2011-04-30,프로덕션 LAS,"홀리가든 , 주식회사 마운틴픽쳐스",프로덕션 LAS,2013-06-06,
1449,2012,닥터,스릴러,"김성홍 , 김유정 , 배현지",이연호,"이지호 , 김성홍","김창완 , 배소은 , 최형 , 탁대성 , 하은설 , 반민정",2012-06-10,2012-08-05,(유)조이앤컨텐츠그룹,(주)마인스 엔터테인먼트,(주)노마드필름,2013-06-20,
1450,2013,꼭두각시,"공포(호러),스릴러",권영락,이승훈,박세열,"이종수 , 구지성 , 원기준",2012-12-28,2013-01-20,골든타이드픽처스(주),(주)인벤트스톤,골든타이드픽처스(주),2013-06-20,
1451,2013,이별계약,"멜로/로맨스,드라마",오기환,"김지형 , 남종우 , 이홍대 , 정태성",,"펑위옌 , 백백하 , 장경부 , 오패자 , 최한기",2012-07-17,2012-08-30,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)씨제이이엔엠,2013-06-20,
1452,2011,홀리,드라마,박병환,"최현민 , 조철회 , 윤종희",조현경,"신이 , 방민아 , 정애연 , 경수진 , 이창대 , 박준서 , 김나온",2011-10-09,2011-11-21,(주)프라이데이 엔터테인먼트,(주)액티버스엔터테인먼트,(주)프라이데이 엔터테인먼트,2013-06-20,2011 영진위 영화제작지원작/2012 영진위 독립영화후반작업현물지원작
1453,2012,더 웹툰: 예고살인,"공포(호러),스릴러",김용균,"송기윤 , 정민우 , 김경준 , 김동수 , 김재균 , 김형주 , 민현일 , 박성준 , 오경민 , 이명수","이상학 , 이후경","이시영 , 엄기준 , 정현태 , 문가영 , 권해효 , 김도영 , 현우",2012-08-27,2012-11-11,(주)씨제이이엔엠,(주)씨제이이엔엠,"(주)필마픽쳐스 , (주)라인필름 , (주)씨제이이엔엠",2013-06-27,2012 영진위 스태프인건비지원작
1454,2012,"힘내세요, 병헌씨","코미디,드라마",이병헌,"김의석 , 심상혁",이병헌,"홍완표 , 양현민 , 김영현 , 허준석 , 이재광 , 이창한 , 정현정 , 조휘상 , 강호규 , 강호규 , 김경진 , 김수완 , 황인국 , 김영천 , 노승보 , 박영석 , 심상혁 , 양동엽 , 이병헌 , 손산 , 강소라 , 박성민",2011-09-13,2011-10-26,,㈜인디스토리,,2013-06-27,2011 영진위 하반기 독립영화제작지원사업 지원작/2012 서울독립영화제 관객상 수상/2013 JIFF 경쟁 부문 초청작/2013 인디포럼 초청작/2013 영진위 상반기 후반작업현물지원작
1455,2013,전국노래자랑,"코미디,드라마",이종필,"권지원 , 김현철","이종필 , 정미나 , 이경규","김인권 , 류현경 , 김수미 , 오광록 , 유연석 , 이초희 , 오현경 , 송해 , 최두원 , 김경민 , 김정복 , 김용건 , 정경순 , 이병준 , 서동수 , 정재헌 , 김환희 , 이세랑 , 이정은",2012-11-08,2013-01-22,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)인앤인픽쳐스,2013-05-01,
1456,2013,고령화 가족,"드라마,코미디",송해성,"유병옥 , 이경환","김해곤 , 송해성 , 김재환","우혜진 , 박해일 , 윤제문 , 공효진 , 윤여정 , 진지희 , 이학렬 , 임승묵 , 임효우 , 정광호 , 정승환 , 김석영 , 최철수 , 홍진성 , 황유진 , 김해곤 , 문선영 , 박용수 , 선현철 , 송진영 , 이강진 , 양희경 , 이종현 , 김영재 , 이영진 , 이영진 , 강석철 , 유승목 , 김근영 , 오민애 , 한이진 , 신유람 , 박영서",2012-10-18,2013-01-12,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)인벤트스톤,2013-05-09,천명관 동명 소설 원작
1457,2012,미나문방구,"드라마,코미디",정익환,"강영모 , 김호세",배세영,"최강희 , 봉태규 , 이재인 , 전경수 , 홍지은 , 유재상 , 김원해 , 박사랑 , 정준원 , 권해효 , 김고은 , 이세랑 , 오민애 , 김승훈 , 정민성 , 김서라 , 박서연 , 서동훈 , 이동진 , 이상협",2012-09-14,2012-11-25,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)별의별,2013-05-16,
1458,2010,어디로 갈까요?,멜로/로맨스,진승현,"김용순 , 윤수인 , 김지훈",김지희,"김규리 , 유건 , 이창훈 , 이희승 , 조정래 , 최광영 , 최용욱 , 황성민 , 김옥철 , 김은성 , 정성훈",2010-11-15,2010-12-14,,주식회사 마운틴픽쳐스,(주)진진엔터테인먼트필름,2013-05-16,2010 부산영상위원회 촬영지원작/2011 영진위 독립영화후반작업현물지원작/2011 영진위 예술영화인정작
1459,2013,몽타주,스릴러,정근섭,노재훈,정근섭,"엄정화 , 김상경 , 송영창 , 조희봉 , 정해균 , 유승목 , 이정환 , 조한기 , 고해성 , 허정은 , 홍종성 , 김윤태 , 이준혁 , 오대환 , 기주봉 , 백지원 , 정종열 , 정희태",2012-09-20,2012-12-26,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),(주)미인픽쳐스,2013-05-16,
1460,2012,환상속의 그대,"멜로/로맨스,드라마,판타지",강진아,제정주,"최영림 , 강진아","이희준 , 이영진 , 한예리 , 전수연 , 최창엽 , 최효신 , 황지수 , 김용삼 , 기주봉 , 배제기 , 박미현 , 오대환 , 박명신",2011-10-28,2012-02-29,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),크라켄,2013-05-16,2010 영진위 독립영화제작지원작/2011 인천영상위원회 독립영화 제작지원작/2013 JIFF 한국경쟁부문 초청작/크라우드 펀딩 제작
1461,2012,춤추는 숲,다큐멘터리,강석필,홍형숙,홍형숙,"강석필 , 강이헌 , 이창환",2007-12,2012-08,,스튜디오느림보,감어인 필름,2013-05-23,2012 BIFF 와이드앵글-다큐멘터리 경쟁 부문 초청작/2012 영진위 하반기 다양성영화 개봉지원작/2012 서울독립영화제 우수작품상 수상/2013 서울환경영화제 국제환경영화경선 초정작
1462,2012,길위에서,다큐멘터리,이창재,최병화,,,2011-04-02,2012-02-13,(주)씨제이이엔엠,㈜영화사 백두대간,(주)비트윈픽처스,2013-05-23,
1463,2013,뜨거운 안녕,드라마,남택수,"최기섭 , 정혜영 , 김창희 , 박명순","남택수 , 김은영 , 이난영","이홍기 , 마동석 , 임원희 , 백진희 , 전민서 , 심이영 , 김상선 , 황주원 , 남택수 , 박재현 , 최권 , 차종호 , 이민아 , 곽자형 , 백익남",2012-09-24,2012-12-12,(주)케이제이네트,(주)나이너스엔터테인먼트,"(주)홍필름 , (주)수필름",2013-05-30,"A.K.A. 우리들의 천국, 불사조/한·일 글로벌 프로젝트/2012 영진위 국제공동제작영화인센티브지원작"
1464,2012,잠 못 드는 밤,드라마,장건재,김우리,장건재,"김수현 , 김주령 , 이희성 , 정대용",2011-07-22,2011-10-14,(주)모쿠슈라,㈜인디스토리,(주)모쿠슈라,2013-05-30,"2012 JIFF 한국경쟁 부문 대상, 관객상 수상/2012 에든버러국제영화제 학생비평가상 수상/2012 영진위 독립영화후반작업현물지원작/2012 영진위 하반기다양성영화개봉지원작/2012 낭뜨3대륙영화제 국제경쟁 부문 심사위원 특별언급상 수상"
1465,2012,콘돌은 날아간다,드라마,전수일,전수일,전수일,"조재현 , 배정화 , 유연미 , 이재석 , 이형원 , 임희선 , 한은영 , 한지우 , 손민식 , 안현준 , 임호영 , 유순철 , 이재석 , 박성진",2012-02-01,2012-03-15,(주)버킷스튜디오,주식회사 마운틴픽쳐스,(주)동녘필름,2013-05-30,2012 BIFF 갈라프레젠테이션 부문 초청작
1466,2012,비념,다큐멘터리,임흥순,김민경,임흥순,"강상희 , 한신화 , 강상문 , 오국만 , 김민경",2009-12-04,2012-05-07,,㈜인디스토리,"반달 , 볼",2013-04-03,2012 JIFF 한국장편경쟁부분 초청작/2012 CINDI 버터플라이상 수상작/2012 DMZ 국제다큐멘터리영화제 초청작/2012 서울독립영화제 초청작
1467,2012,런닝맨,"액션,코미디",조동오,최정화,조동오,"김혜란 , 신하균 , 이태리 , 김상호 , 조은지 , 오정세 , 주현 , 김의성 , 정석용 , 남경읍 , 정동석 , 조원철 , 지성환 , 김도연 , 김선간 , 한승현 , 염동헌 , 정민성 , 박상욱 , 권범택 , 김태훈 , 조운",2012-07-28,2012-11-30,이십세기폭스 인터내셔널 프로덕션,이십세기폭스코리아(주),"(주)크리픽쳐스 , 이십세기폭스 인터내셔널 프로덕션",2013-04-04,"한, 미 글로벌 프로젝트/2012 영진위 국제공동제작 영화 인센티브 지원작"
1468,2009,끝과 시작,"멜로/로맨스,드라마",민규동,"민진수 , 서은정 , 이치범",민규동,"엄정화 , 황정민 , 김효진",2009-03-19,2009-04-07,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,"(주)수필름 , 데이지엔터테인먼트",2013-04-04,2009 BIFF 갈라 프레젠테이션(Gala Presentation) 섹션 초청작
1469,2012,전설의 주먹,"드라마,액션",강우석,"정선영 , 손정우",장민석,"황정민 , 유준상 , 이요원 , 윤제문 , 정웅인 , 성지루 , 지우 , 장영주 , 장임태 , 장준석 , 장한별 , 전상민 , 전재형 , 정동혁 , 정윤성 , 주창욱 , 채성원 , 천준호 , 최봉록 , 최춘범 , 최충열 , 허명행 , 박용균 , 박재영 , 이수민 , 김태형 , 박정민 , 박진우 , 서범식 , 강신일 , 강성진 , 김종수 , 변준우 , 전준영 , 이정혁 , 권은수 , 어성욱 , 곽진석",2012-07-15,2012-11-28,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)시네마서비스,2013-04-10,이종규 동명 웹툰 원작/2013 JIFF 코리아 시네마스케이프 부문 초청작
1470,2012,공정사회,"드라마,스릴러",이지승,김현우,"이지승 , 김현우","장영남 , 마동석 , 황태광 , 배성우 , 엄태구 , 김형종 , 추귀정 , 홍기준 , 도용구 , 강민선 , 김시내 , 홍석재 , 김정숙 , 류성진 , 문예진 , 박성훈 , 박진희 , 송민승 , 송준 , 이병삼 , 지대한 , 지찬",2012-05-17,2012-06-04,시네마팩토리,(주)엣나인필름,시네마팩토리,2013-04-18,2003 아동 성범죄자 체포 실화 바탕/2012 BIFF 한국영화의 오늘-비전 부문 초청작/2012 BIFF 한국영화감독조합상 여자배우상 수상/2012 코스타리카국제영화제 최우수 장편영화 작품상 수상/2012 네바다국제영화제 플래티넘 어워드 수상/2013 어바인국제영화제 여우주연상 수상/2013 벨로이트국제영화제 최우수 장편영화 작품상 수상/2013 달라스국제영화제 장편경쟁부문 초청작/2013 애선스국제영화제 장편 극영화 경쟁 부문 First Prize 수상
1471,2012,노리개,드라마,최승호,"김태훈 , 양종곤",최승호,"마동석 , 이승연 , 민지현 , 강미경 , 김용헌 , 서태화 , 기주봉 , 편보승 , 정명근 , 서호철",2012-09-24,2012-11-30,(유)조이앤컨텐츠그룹,(주)인벤트스톤,주식회사 마운틴픽쳐스,2013-04-18,2012 영진위 한국영화스태프인건비지원작/크라우드 펀딩 개봉지원작
1472,2012,태아 3D,"다큐멘터리,가족",표만석,,김경애,"김형경 , 이동원 , 이은희",2011-01-01,2012-04-30,(주)팝엔터테인먼트,(주)팝엔터테인먼트,KBS 미디어,2013-04-18,동명 KBS TV 다큐멘터리 영화화/I3DS 크리에이티브 아츠 어워즈 심사위원특별상 수상
1473,2012,왕자가 된 소녀들,다큐멘터리,김혜정,피소현,김혜정,"조금앵 , 김진진 , 박미숙 , 허숙자 , 김혜리 , 이옥천",2008-04,2012-04,,영희야 놀자,영희야 놀자,2013-04-18,2009 서울영상위원회 제작지원작/2009 영진위 상반기 독립영화제작지원작/2010 부산영상위원회 촬영지원작/2011 영진위 독립영화후반작업현물지원작/2011 영진위 예술영화인정작/2011 JIMFF 한국음악영화의 오늘 부문 초청작/2012 서울국제여성영화제 새로운 물결 부문 초청작/2012 서울LGBT영화제 폐막작/2012 서울노인영화제 특별상영작/2012 인도 첸나이 삼성국제여성영화제 상영작/2013 인도 IWRAT 영화제 초청작/2013 인디다큐페스티벌 국내신작전 부문 초청작/크라우드 펀딩 배급
